center_x_px,center_y_px,row_index,col_index,pred_x_px,pred_y_px,residual_px
8.511017964071855886e+02,9.875359281437125674e+02,2.400000000000000000e+01,1.900000000000000000e+01,8.504403292181090137e+02,9.870602535286881221e+02,8.147424019918930727e-01
8.184054878048780211e+02,9.874573170731707705e+02,2.400000000000000000e+01,1.800000000000000000e+01,8.177592592592611709e+02,9.870602535286881221e+02,7.584660780332852514e-01
7.857730496453899605e+02,9.873991894630191837e+02,2.400000000000000000e+01,1.700000000000000000e+01,7.850781893004133281e+02,9.870602535286881221e+02,7.731160757621809987e-01
7.530000000000000000e+02,9.875000000000000000e+02,2.400000000000000000e+01,1.600000000000000000e+01,7.523971193415654852e+02,9.870602535286881221e+02,7.462184983941917427e-01
7.203189300411521572e+02,9.874567901234568126e+02,2.400000000000000000e+01,1.500000000000000000e+01,7.197160493827176424e+02,9.870602535286881221e+02,7.215998609376131911e-01
6.875945121951219789e+02,9.874573170731707705e+02,2.400000000000000000e+01,1.400000000000000000e+01,6.870349794238697996e+02,9.870602535286881221e+02,6.861023104918594351e-01
6.550000000000000000e+02,9.875000000000000000e+02,2.400000000000000000e+01,1.300000000000000000e+01,6.543539094650219567e+02,9.870602535286881221e+02,7.815433055304500387e-01
6.222249488752555635e+02,9.875000000000000000e+02,2.400000000000000000e+01,1.200000000000000000e+01,6.216728395061741139e+02,9.870602535286881221e+02,7.058340558932847397e-01
5.895945121951219789e+02,9.875426829268292295e+02,2.400000000000000000e+01,1.100000000000000000e+01,5.889917695473262711e+02,9.870602535286881221e+02,7.720342114586450366e-01
5.569638554216867306e+02,9.875783132530120838e+02,2.400000000000000000e+01,1.000000000000000000e+01,5.563106995884784283e+02,9.870602535286881221e+02,8.336656526573772430e-01
5.241702344546381482e+02,9.877023445463811413e+02,2.400000000000000000e+01,9.000000000000000000e+00,5.236296296296305854e+02,9.870602535286881221e+02,8.393655055001454368e-01
1.047659763313609346e+03,9.550236686390531986e+02,2.300000000000000000e+01,2.500000000000000000e+01,1.046526748971195957e+03,9.543750599206767902e+02,1.305532370210839233e+00
1.014906187624750373e+03,9.550000000000000000e+02,2.300000000000000000e+01,2.400000000000000000e+01,1.013845679012348228e+03,9.543750599206767902e+02,1.230946229420125215e+00
9.820473313192345586e+02,9.549526686807653277e+02,2.300000000000000000e+01,2.300000000000000000e+01,9.811646090535003850e+02,9.543750599206767902e+02,1.054907805523255471e+00
9.492313131313130725e+02,9.549363636363635806e+02,2.300000000000000000e+01,2.200000000000000000e+01,9.484835390946525422e+02,9.543750599206767902e+02,9.350015353716705224e-01
9.165773809523809632e+02,9.548869047619048160e+02,2.300000000000000000e+01,2.100000000000000000e+01,9.158024691358046994e+02,9.543750599206767902e+02,9.286944949558322282e-01
8.839117948717947684e+02,9.548533333333332394e+02,2.300000000000000000e+01,2.000000000000000000e+01,8.831213991769568565e+02,9.543750599206767902e+02,9.238348400403351146e-01
8.510882051282051179e+02,9.548533333333332394e+02,2.300000000000000000e+01,1.900000000000000000e+01,8.504403292181090137e+02,9.543750599206767902e+02,8.052879312003262680e-01
8.183201621073960723e+02,9.547912867274568498e+02,2.300000000000000000e+01,1.800000000000000000e+01,8.177592592592611709e+02,9.543750599206767902e+02,6.984674364121561396e-01
7.530000000000000000e+02,9.547873210633946428e+02,2.300000000000000000e+01,1.600000000000000000e+01,7.523971193415654852e+02,9.543750599206767902e+02,7.303590473934472582e-01
6.550000000000000000e+02,9.547873210633946428e+02,2.300000000000000000e+01,1.300000000000000000e+01,6.543539094650219567e+02,9.543750599206767902e+02,7.664151806842318670e-01
6.221289989680082044e+02,9.548710010319916819e+02,2.300000000000000000e+01,1.200000000000000000e+01,6.216728395061741139e+02,9.543750599206767902e+02,6.738241911010741658e-01
5.895432098765431874e+02,9.546810699588477291e+02,2.300000000000000000e+01,1.100000000000000000e+01,5.889917695473262711e+02,9.543750599206767902e+02,6.306572604420254136e-01
5.568710010319916819e+02,9.548710010319916819e+02,2.300000000000000000e+01,1.000000000000000000e+01,5.563106995884784283e+02,9.543750599206767902e+02,7.482615141080594112e-01
5.241289989680082044e+02,9.548710010319916819e+02,2.300000000000000000e+01,9.000000000000000000e+00,5.236296296296305854e+02,9.543750599206767902e+02,7.037949431503118802e-01
4.915000000000000000e+02,9.549512195121951663e+02,2.300000000000000000e+01,8.000000000000000000e+00,4.909485596707827426e+02,9.543750599206767902e+02,7.975251165862171643e-01
4.589006211180123955e+02,9.549596273291925854e+02,2.300000000000000000e+01,7.000000000000000000e+00,4.582674897119348998e+02,9.543750599206767902e+02,8.617275859925452863e-01
4.261187499999999773e+02,9.550000000000000000e+02,2.300000000000000000e+01,6.000000000000000000e+00,4.255864197530870570e+02,9.543750599206767902e+02,8.209297135095491305e-01
3.934216867469879162e+02,9.550361445783132694e+02,2.300000000000000000e+01,5.000000000000000000e+00,3.929053497942392141e+02,9.543750599206767902e+02,8.388305987123719776e-01
3.608710010319917387e+02,9.551289989680082044e+02,2.300000000000000000e+01,4.000000000000000000e+00,3.602242798353913713e+02,9.543750599206767902e+02,9.933138442723989936e-01
3.280000000000000000e+02,9.552126789366052435e+02,2.300000000000000000e+01,3.000000000000000000e+00,3.275432098765435285e+02,9.543750599206767902e+02,9.540769532549924214e-01
2.951702344546381482e+02,9.552976554536187450e+02,2.300000000000000000e+01,2.000000000000000000e+00,2.948621399176956857e+02,9.543750599206767902e+02,9.726791665797310804e-01
2.624151515151515355e+02,9.555000000000000000e+02,2.300000000000000000e+01,1.000000000000000000e+00,2.621810699588478428e+02,9.543750599206767902e+02,1.149036273173857703e+00
2.296728778467908967e+02,9.555869565217391255e+02,2.300000000000000000e+01,0.000000000000000000e+00,2.295000000000000000e+02,9.543750599206767902e+02,1.224165071212823808e+00
7.857148717948717831e+02,9.546389743589743375e+02,2.300000000000000000e+01,1.700000000000000000e+01,7.850781893004133281e+02,9.543750599206767902e+02,6.892136312434270495e-01
7.201953675730110263e+02,9.547210473313192551e+02,2.300000000000000000e+01,1.500000000000000000e+01,7.197160493827176424e+02,9.543750599206767902e+02,5.911456807498488564e-01
